county_desc,light_desc,collision_type_desc,weather_desc,harm_event_desc1,harm_event_desc2,rd_cond_desc,report_type
Baltimore,Daylight,Other,Raining,Not Applicable,Not Applicable,Not Applicable,Property Damage Crash
Baltimore,Daylight,Same Direction Rear End,Raining,Parked Vehicle,Other Vehicle,No Defects,Property Damage Crash
Montgomery,Daylight,Single Vehicle,Raining,Fixed Object,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Same Direction Rear End,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore,Dark Lights On,Other,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore,Unknown,Unknown,Unknown,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Baltimore,Daylight,Same Direction Both Left Turn,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Montgomery,Daylight,Head On Left Turn,Raining,Other Vehicle,Not Applicable,No Defects,Property Damage Crash
Baltimore City,Daylight,Same Direction Sideswipe,Raining,Other Vehicle,Other Vehicle,No Defects,Property Damage Crash
Calvert,Daylight,Unknown,Raining,Parked Vehicle,Not Applicable,No Defects,Property Damage Crash
Anne Arundel,Daylight,Single Vehicle,Raining,Other Vehicle,Not Applicable,No Defects,Injury Crash
Prince George's,Daylight,Other,Raining,Pedestrian,Not Applicable,No Defects,Property Damage Crash
Prince George's,Daylight,Other,Raining,Pedestrian,Pedestrian,No Defects,Injury Crash
